,age,occupation,telephone,first_name,last_name,addr,city,card,expiration-date
0,52,Security Guard,102-325-6999,Dimple,Vargas,1167 Fountain Drung,Los Gatos,3426 041102 39585,04/24
1,52,Car Salesman,1-776-438-7322,Magaly,Gallegos,65 Lilac Cove,Cambridge,2563 5905 5152 2571,11/21
2,16,Publicity Manager,593.991.2315,Dwight,Bennett,97 Custer High Street,Ossining,4782 5584 4052 0610,08/24
3,22,Pool Attendant,441-906-7663,Bree,Bray,762 Valparaiso Grove,Odessa,4968 2526 3652 8514,01/16
4,18,Street Trader,(510) 959-8857,Phillip,Brennan,249 Phelan Annex,Huntsville,2398 7771 2471 9310,06/20
5,28,Acupuncturist,1-475-618-1876,Hugh,Riddle,1175 Avocet Parkway,Harvey,5590 1795 9182 6018,02/24
6,60,Plumber,447.275.4012,Berneice,Downs,167 Marview Drung,Southaven,4925 2190 9388 6406,10/19
7,33,Care Manager,013.306.4772,Shakira,Hansen,383 Morningside Run,Sandy Springs,5230 9263 3846 1038,06/17
8,47,Screen Writer,+1-(205)-208-5003,Dave,Bishop,642 Mcdonald Parkway,Kent,5297 4709 7111 3044,10/24
9,49,Technical Illustrator,441-706-8909,Ronni,Cummings,1103 Langton Lane,Ramsey,2451 2303 2459 5910,11/25
10,16,Law Clerk,1-601-520-5365,William,Sharp,24 Nob Hill Field,Bellflower,4094 4357 5216 0983,04/25
11,18,Trichologist,378-454-3893,Dario,Ruiz,772 Cook Terrace,Mountlake Terrace,5362 7092 8014 5829,07/19
12,45,Maid,715.216.8563,Randy,Garner,620 De Boom Place,Crest Hill,4635 4074 7921 2823,02/21
13,58,Wood Carver,119-613-9759,Junie,Kelley,848 Hartford Road,Huntley,5364 9376 0210 8419,02/19
14,64,Bakery Operator,195.436.2950,Nick,Jimenez,304 Vesta Place,Cabot,3759 606298 81451,12/20
15,27,Gynaecologist,073-062-8311,Jude,Rice,9 Bird Court,Idaho Falls,4271 8650 8958 7570,06/19
16,29,Industrial Consultant,(356) 116-1660,Pia,Morin,1268 Teresita Bend,Moorpark,2474 9301 3982 0519,04/23
17,35,Bricklayer,070.319.1773,Love,Hayden,927 Rossmoor Drive,Dayton,3742 268285 95891,08/21
18,20,Tax Inspector,1-423-457-3904,Billye,Dickson,525 Sears Bypass,Yorba Linda,4476 0631 3887 3596,12/20
19,54,Projectionist,418-134-8918,Clement,Hansen,1153 Hilton Crescent,Key West,2524 2452 0004 9504,11/20
20,66,Mining Consultant,+1-(878)-517-1652,Vertie,Frederick,623 Battery Dynamite Plaza,Marshfield,4842 5132 3363 6550,04/24
21,43,Arts,653.676.7901,Chang,Sparks,198 Schwerin Place,Pocatello,2558 4298 2859 0342,03/21
22,49,Pest Controller,1-913-229-5962,Demarcus,Barber,201 Thomas Mellon Expressway,Laurel,4064 4310 5222 4252,07/17
23,53,Administration Clerk,(554) 986-7533,Dimple,Emerson,92 Cooper Court,Naperville,2278 3702 7946 7086,08/24
24,18,Sound Engineer,+1-(677)-305-6235,Deloise,Williamson,669 Crestlake Crescent,Ozark,4918 0279 4155 6462,02/16
25,43,Ventriloquist,886-960-9433,Terence,Mcmahon,44 Fort Mason Walk,Northglenn,5261 8812 5818 4437,09/25
26,52,Nun,959.241.5440,Kayleen,Wilcox,871 J Alley,Post Falls,2508 5298 8336 6107,04/19
27,23,Office Worker,451-025-5857,Sheilah,Cantrell,482 Cumberland Side road,Fond du Lac,3715 594250 21850,03/16
28,42,Counsellor,316.034.2917,Robby,Cooper,912 Wyton Extension,Leander,3726 254738 42742,09/25
29,44,Tax Inspector,1-281-085-5717,Connie,Kerr,473 Fratessa Viaduct,Gilroy,5165 0318 3968 1967,10/24
30,54,Cartoonist,1-120-097-2546,Gerard,York,1287 Oliver Drive,Banning,3755 021738 39509,02/25
31,62,Building Surveyor,462-498-3727,Jewell,Henderson,502 Merrimac Bypass,Deerfield Beach,5313 2588 6489 8304,08/25
32,53,Pig Man,775.727.9859,Theola,Mendoza,975 Olympic Country Club Side road,Santa Fe Springs,3478 694491 44534,01/24
33,46,Nursing Assistant,(762) 228-4517,Kathern,Livingston,1295 Houston Stravenue,Utica,4938 3727 9965 7905,06/17
34,56,Accounts Manager,(310) 331-5943,Wei,Fuller,109 South Hughes Circle,Round Lake,3472 474692 04415,09/24
35,48,Line Worker,045-937-5880,Bryant,Chambers,239 Camellia Green,Alton,5577 5731 6359 1215,02/21
36,16,Flower Arranger,+1-(166)-587-3161,Gidget,Carr,571 Vale Bypass,Maryland Heights,4442 3712 2794 9172,08/24
37,24,Hotel Worker,1-566-906-4651,Mitchell,Whitaker,767 Capp Expressway,Encinitas,3734 220928 18991,11/21
38,51,Sign Maker,736-675-0751,Clemmie,Jackson,65 Henry Adams Field,Gaithersburg,2719 2240 6002 3391,05/23
39,58,Shoe Maker,(982) 836-5075,Laurinda,Chaney,712 Malvina Circle,Richfield,3754 612063 94067,07/17
40,39,Ship Builder,740-656-4925,Merideth,Randall,1265 Rhode Island Concession road,Tamarac,3713 391938 95730,11/24
41,55,Hospital Manager,+1-(459)-787-2358,Moises,Bender,627 Greenwich Place,Mount Pleasant,5317 4794 7148 9446,02/19
42,63,Maintenance Fitter,511-334-6749,Jerry,Collins,733 Daniel Burnham Bypass,Ventura,3474 782213 38403,01/17
43,29,Housewife,716-517-5672,Leopoldo,Pace,868 Alana Turnpike,Evergreen Park,4570 2505 1562 8231,07/20
44,33,Restaurateur,900-694-2993,Carrol,Kane,1206 Carson Alley,National City,4522 6123 2940 2773,10/20
45,57,Labelling Operator,812.564.6879,Antonia,Bruce,1216 Infantry Run,Albertville,3796 809022 21482,04/22
46,54,Health Advisor,1-295-328-9381,Tayna,Pollard,1198 Entrada Walk,University Park,3788 052412 66226,03/24
